grid_id,risk_probability,priority_rank,risk_level
3_9_9_SE_Asia,0.23168299725274405,1,Low
3_9_8_SE_Asia,0.23168299725274405,2,Low
0_0_1_Serengeti,0.23168299725274405,3,Low
0_0_2_Serengeti,0.23168299725274405,4,Low
0_0_3_Serengeti,0.23168299725274405,5,Low
0_0_4_Serengeti,0.23168299725274405,6,Low
3_8_8_SE_Asia,0.23168299725274405,7,Low
3_8_6_SE_Asia,0.23168299725274405,8,Low
3_8_5_SE_Asia,0.23168299725274405,9,Low
3_8_4_SE_Asia,0.23168299725274405,10,Low
3_8_2_SE_Asia,0.23168299725274405,11,Low
3_8_1_SE_Asia,0.23168299725274405,12,Low
3_8_14_SE_Asia,0.23168299725274405,13,Low
3_8_13_SE_Asia,0.23168299725274405,14,Low
3_8_12_SE_Asia,0.23168299725274405,15,Low
